# Region type : patch Air
# Faces  :    12879
# Area   :    3.839820e+02
# Time        	sum(phi)
47            	8.215789e-09
47.0097       	1.755074e-08
47.0191       	1.907960e-08
47.0284       	1.909615e-08
47.0376       	1.910338e-08
47.0469       	1.911976e-08
47.0562       	1.912483e-08
47.0657       	1.913973e-08
47.0752       	1.914465e-08
47.0848       	1.915520e-08
47.0944       	1.915946e-08
47.1038       	1.916735e-08
47.1132       	1.916910e-08
47.1227       	1.917719e-08
47.132        	1.917469e-08
47.1413       	1.918273e-08
47.1508       	1.918372e-08
47.1603       	1.918919e-08
47.1701       	1.919218e-08
47.1797       	1.919224e-08
47.1892       	1.918863e-08
47.1985       	1.918329e-08
47.2077       	1.917574e-08
47.2169       	1.916662e-08
47.2261       	1.915600e-08
47.2353       	1.914578e-08
47.2446       	1.913131e-08
47.2539       	1.911807e-08
47.2633       	1.910000e-08
47.2729       	1.908000e-08
47.2823       	1.905522e-08
47.2917       	1.903010e-08
47.3009       	1.900720e-08
47.3099       	1.898333e-08
47.319        	1.895989e-08
47.3281       	1.893684e-08
47.3373       	1.891423e-08
47.3466       	1.889190e-08
47.3561       	1.887113e-08
47.3656       	1.885076e-08
47.375        	1.883134e-08
47.3845       	1.882444e-08
47.3938       	1.882904e-08
47.4032       	1.883561e-08
47.4125       	1.884035e-08
47.4218       	1.884309e-08
47.4313       	1.884382e-08
47.4409       	1.884241e-08
47.4506       	1.883700e-08
47.46         	1.882899e-08
47.4693       	1.881914e-08
47.4787       	1.880796e-08
47.4878       	1.879528e-08
47.497        	1.878216e-08
47.5061       	1.876799e-08
47.5152       	1.875331e-08
47.5246       	1.873773e-08
47.5339       	1.871992e-08
47.5432       	1.870139e-08
47.5527       	1.868008e-08
47.562        	1.865701e-08
47.5714       	1.863153e-08
47.5805       	1.860378e-08
47.5896       	1.857461e-08
47.5987       	1.854341e-08
47.6078       	1.851041e-08
47.6172       	1.847545e-08
47.6265       	1.843782e-08
47.6359       	1.839867e-08
47.6452       	1.835837e-08
47.6545       	1.831660e-08
47.6639       	1.827398e-08
47.6732       	1.822959e-08
47.6825       	1.818412e-08
47.6916       	1.813804e-08
47.7007       	1.809124e-08
47.7095       	1.804401e-08
47.718        	1.799715e-08
47.7266       	1.794928e-08
47.7349       	1.790073e-08
47.7424       	1.785452e-08
47.7492       	1.781288e-08
47.7555       	1.777642e-08
47.7614       	1.774372e-08
47.7674       	1.771257e-08
47.7734       	1.768153e-08
47.7793       	1.764997e-08
47.7855       	1.761802e-08
47.7916       	1.758495e-08
47.7977       	1.755148e-08
47.8039       	1.751806e-08
47.8098       	1.748478e-08
47.8154       	1.745257e-08
47.8205       	1.742237e-08
47.8254       	1.739422e-08
47.8301       	1.736753e-08
47.8346       	1.734194e-08
47.8389       	1.731760e-08
47.8432       	1.729411e-08
47.8473       	1.727139e-08
47.8513       	1.724928e-08
47.8553       	1.722784e-08
47.8593       	1.720660e-08
47.8632       	1.718538e-08
47.8672       	1.716458e-08
47.8711       	1.714392e-08
47.875        	1.712331e-08
47.8789       	1.710278e-08
47.8828       	1.708230e-08
47.8868       	1.706210e-08
47.8909       	1.704142e-08
47.8949       	1.702060e-08
47.899        	1.699965e-08
47.903        	1.697870e-08
47.9072       	1.695790e-08
47.9114       	1.693664e-08
47.9156       	1.691495e-08
47.9199       	1.689340e-08
