# Region type : patch Outlet
# Faces  :    20610
# Area   :    6.753910e+01
# Time        	sum(phi)
88            	-8.775751e-282
88.0013       	-8.975831e-282
88.0028       	-9.217343e-282
88.0045       	-9.502259e-282
88.0064       	-9.837744e-282
88.0086       	-1.022968e-281
88.0111       	-1.068308e-281
88.0134       	-1.114619e-281
88.0158       	-1.161535e-281
88.0178       	-1.205027e-281
88.02         	-1.253721e-281
88.0221       	-1.300031e-281
88.0239       	-1.343808e-281
88.0259       	-1.391285e-281
88.0277       	-1.436181e-281
88.0296       	-1.485598e-281
88.0314       	-1.535305e-281
88.0334       	-1.590816e-281
88.0354       	-1.646328e-281
88.0374       	-1.705861e-281
88.0394       	-1.770016e-281
88.0414       	-1.833609e-281
88.0434       	-1.897706e-281
88.0454       	-1.967676e-281
88.0474       	-2.041197e-281
88.0496       	-2.119563e-281
88.0517       	-2.201883e-281
88.0539       	-2.290291e-281
88.0562       	-2.384769e-281
88.0585       	-2.484893e-281
88.0608       	-2.590017e-281
88.063        	-2.693730e-281
88.0652       	-2.799021e-281
88.0674       	-2.912470e-281
88.0695       	-3.023635e-281
88.0717       	-3.143211e-281
88.0738       	-3.265429e-281
88.0758       	-3.384165e-281
88.078        	-3.514200e-281
88.0801       	-3.649549e-281
88.0822       	-3.791790e-281
88.0844       	-3.937101e-281
88.0864       	-4.085495e-281
88.0885       	-4.236292e-281
88.0905       	-4.393739e-281
88.0926       	-4.555889e-281
88.0945       	-4.711387e-281
88.0964       	-4.873550e-281
88.0981       	-5.023406e-281
88.1          	-5.196313e-281
88.102        	-5.386365e-281
88.1041       	-5.586630e-281
88.1061       	-5.795828e-281
88.1082       	-6.016022e-281
88.1104       	-6.249711e-281
88.1127       	-6.514948e-281
88.115        	-6.788480e-281
88.1169       	-7.024358e-281
88.1189       	-7.275669e-281
88.1209       	-7.540875e-281
88.123        	-7.817075e-281
88.125        	-8.110968e-281
88.1273       	-8.450911e-281
88.1297       	-8.820458e-281
88.1319       	-9.162280e-281
88.134        	-9.519942e-281
88.1362       	-9.890499e-281
88.138        	-1.021678e-280
88.1399       	-1.055447e-280
88.1416       	-1.088861e-280
88.1434       	-1.124682e-280
88.1454       	-1.163831e-280
88.1472       	-1.201543e-280
88.1489       	-1.238625e-280
88.1505       	-1.274618e-280
88.1523       	-1.316671e-280
88.1544       	-1.365404e-280
88.1563       	-1.412748e-280
88.1582       	-1.461615e-280
88.1601       	-1.511938e-280
88.162        	-1.562954e-280
88.1639       	-1.615222e-280
88.1655       	-1.661804e-280
88.167        	-1.709228e-280
88.1688       	-1.764457e-280
88.1708       	-1.828119e-280
88.1728       	-1.892041e-280
88.1748       	-1.961031e-280
88.1768       	-2.031484e-280
88.1787       	-2.103420e-280
88.1807       	-2.177313e-280
88.1828       	-2.261401e-280
88.185        	-2.352184e-280
88.1871       	-2.439499e-280
88.1892       	-2.532520e-280
88.1914       	-2.631488e-280
88.1935       	-2.735706e-280
88.1957       	-2.844353e-280
88.1979       	-2.955755e-280
88.1996       	-3.044194e-280
88.2013       	-3.137696e-280
88.203        	-3.236634e-280
88.2047       	-3.336578e-280
88.2065       	-3.442159e-280
88.2085       	-3.564193e-280
88.2105       	-3.698488e-280
88.2126       	-3.834168e-280
88.2143       	-3.953576e-280
88.216        	-4.073657e-280
88.2175       	-4.187801e-280
88.2192       	-4.309091e-280
88.2208       	-4.432820e-280
88.2223       	-4.559029e-280
88.224        	-4.690779e-280
88.2255       	-4.824089e-280
88.2272       	-4.966865e-280
88.2288       	-5.110707e-280
88.2305       	-5.267781e-280
88.2322       	-5.426426e-280
88.234        	-5.602892e-280
88.236        	-5.807991e-280
88.2382       	-6.039655e-280
88.2405       	-6.283527e-280
88.2429       	-6.567457e-280
88.2455       	-6.878044e-280
88.248        	-7.187835e-280
88.2504       	-7.506132e-280
88.2527       	-7.817547e-280
88.2551       	-8.151391e-280
88.2573       	-8.485271e-280
88.2597       	-8.853622e-280
88.2618       	-9.193600e-280
88.264        	-9.554090e-280
88.2662       	-9.932180e-280
88.2685       	-1.035100e-279
88.2708       	-1.077625e-279
88.273        	-1.121331e-279
88.2753       	-1.168305e-279
88.2777       	-1.218581e-279
88.2798       	-1.264199e-279
88.2819       	-1.313872e-279
88.284        	-1.363478e-279
88.2861       	-1.416224e-279
88.2883       	-1.470669e-279
88.2907       	-1.534267e-279
88.2932       	-1.604803e-279
88.2957       	-1.679995e-279
88.2983       	-1.759021e-279
88.3007       	-1.833245e-279
88.3028       	-1.904460e-279
88.305        	-1.979617e-279
